pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex,code,withpup
98,7/29/1998,ANI,9,37.18,122.4,10,F,,
98,7/10/1998,ANI,9,37.18,122.4,10,F,,
98,7/20/1998,ANI,9,37.18,122.4,10,F,,
98,7/27/1998,ANI,9,37.18,122.4,10,F,,
96,6/11/1996,SMI,8,34.03,120.44,10,F,LTC,P
95,6/4/1995,SMI,8,34.03,120.44,10,F,LTC,Y
94,6/5/1994,SMI,8,34.03,120.44,10,F,LTC,N
94,6/6/1994,SMI,8,34.03,120.44,10,F,LTC,Y
94,6/7/1994,SMI,8,34.03,120.44,10,F,LTC,Y
94,6/9/1994,SMI,8,34.03,120.44,10,F,LTC,Y
94,6/10/1994,SMI,8,34.03,120.44,10,F,LTC,Y
95,6/15/1995,SMI,8,34.03,120.44,10,F,EAC,N
95,6/22/1995,SMI,8,34.03,120.44,10,F,LTC,Y
95,6/28/1995,SMI,8,34.03,120.44,10,F,LTC,Y
95,7/6/1995,SMI,8,34.03,120.44,10,F,LTC,N
92,7/16/1992,SMI,8,34.03,120.44,10,F,EJR,N
94,5/25/1994,SMI,8,34.03,120.44,10,F,EAC,N
94,6/18/1994,SMI,8,34.03,120.44,10,F,LTC,Y
95,6/18/1995,SMI,8,34.03,120.44,10,F,LTC,Y
96,7/11/1996,SMI,8,34.03,120.44,10,F,OCV,
96,7/15/1996,SMI,8,34.03,120.44,10,F,LNC,Y
97,6/7/1997,SMI,8,34.03,120.44,10,F,EAC,P
97,6/9/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,6/12/1997,SMI,8,34.03,120.44,10,F,EAC,
97,6/14/1997,SMI,8,34.03,120.44,10,F,EAC,
97,6/15/1997,SMI,8,34.03,120.44,10,F,EAC,
97,6/16/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,6/18/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,6/19/1997,SMI,8,34.03,120.44,10,F,EAC,
97,6/22/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,6/24/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,6/28/1997,SMI,8,34.03,120.44,10,F,EAC,
97,7/2/1997,SMI,8,34.03,120.44,10,F,EAC,
97,7/3/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,7/12/1997,SMI,8,34.03,120.44,10,F,EAC,
97,7/13/1997,SMI,8,34.03,120.44,10,F,EAC,Y
97,7/18/1997,SMI,8,34.03,120.44,10,F,EAC,
97,5/18/1998,SMI,8,34.03,120.44,10,F,ACV,P
99,5/25/1999,SMI,8,34.03,120.44,10,F,EAC,
99,7/30/1999,SMI,8,34.03,120.44,10,F,PBP,
2000,5/20/2000,SMI,8,34.03,120.44,10,F,EAC,P
92,7/2/1992,SMI,8,34.03,120.44,100,F,EAC,N
96,7/23/1996,ANI,9,37.18,122.4,1011,F,,
94,7/15/1994,ANI,9,37.18,122.4,1011,F,,
98,7/13/1998,ANI,9,37.18,122.4,1011,F,,
95,6/14/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,6/26/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,6/15/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,6/30/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,7/1/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,7/2/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,7/3/1995,SMI,8,34.03,120.44,1011,F,EAC,N
95,7/18/1995,SMI,8,34.03,120.44,1011,F,EAC,N
